,Player,isComp,num_winsaswhite,num_winsasblack,num_loseasblack,num_loseaswhite,num_draws_asblack,num_draws_aswhite,total_matches
1,aaaabbbbccccdddd,FALSE,0,0,2,1,0,0,3
2,aaasim,FALSE,0,0,1,2,0,0,3
3,Aadami,FALSE,0,0,3,2,0,0,5
4,aaditmshah,FALSE,0,0,0,1,0,0,1
5,aalliioommaarr,FALSE,0,0,3,4,0,0,7
6,aandp,FALSE,0,0,1,0,0,0,1
7,aaragond,FALSE,0,0,0,1,0,0,1
8,Aaronfovet,FALSE,0,0,0,1,0,0,1
9,aaronknox,FALSE,0,0,1,2,0,0,3
10,aasm,FALSE,0,0,1,2,0,0,3
11,abagor,FALSE,0,0,1,0,0,0,1
12,abangmadun,FALSE,0,0,5,4,0,0,9
13,abara,FALSE,0,0,0,1,0,0,1
14,AbassTeymori,FALSE,0,0,3,2,0,0,5
15,abbasrezaeepower,FALSE,0,0,1,2,0,0,3
16,ABBcc,FALSE,0,0,6,8,0,0,14
17,abbeyli,FALSE,0,0,1,0,0,0,1
18,AbbyChan,FALSE,0,0,0,1,0,0,1
19,abbylemon,FALSE,0,0,1,0,0,0,1
20,abcdefchess,FALSE,0,0,1,0,0,0,1
21,AbcRam,FALSE,0,0,1,1,0,0,2
22,abdek,FALSE,0,0,1,0,0,0,1
23,AbdouOrabi,FALSE,0,0,0,1,0,0,1
24,Abdun,FALSE,0,0,9,7,0,0,16
25,abdurrahmanali,FALSE,0,0,1,0,0,0,1
26,AbeCipher,FALSE,0,0,1,1,0,0,2
27,Abeltzin,FALSE,0,0,2,0,0,0,2
28,Abenyer,FALSE,0,0,2,0,0,0,2
29,AbhayAvtar,FALSE,0,0,0,1,0,0,1
30,Abhishekyadav,FALSE,0,0,1,0,0,0,1
31,Abidah,FALSE,0,0,3,2,0,0,5
32,abidemi,FALSE,0,0,1,0,0,0,1
33,AbilRaalein,FALSE,0,0,1,1,0,0,2
34,Abnalrafedin,FALSE,0,0,1,0,0,0,1
35,abojameel,FALSE,0,0,1,0,0,0,1
36,abolarinwa,FALSE,0,0,1,0,0,0,1
37,AbrarRafa,FALSE,0,0,0,1,0,0,1
38,AbuHamza,FALSE,0,0,1,1,0,0,2
39,AbuKaDSawker,FALSE,0,0,0,1,0,0,1
40,Abuosman,FALSE,0,0,5,7,0,0,12
41,AcademiaFide,FALSE,0,0,8,7,1,2,18
42,academir,FALSE,2,2,5,4,0,0,13
43,acatinthehat,FALSE,9,10,31,30,0,0,80
44,acconcio,FALSE,1,1,2,1,0,0,5
45,acdemir,FALSE,0,0,2,4,0,0,6
46,AceBonaventura,FALSE,0,2,2,1,0,1,6
47,acengsimari,FALSE,0,0,10,13,0,0,23
48,aceochess,FALSE,9,8,2,4,1,0,24
49,aceto,FALSE,2,3,2,2,1,0,10
50,achechik,FALSE,0,0,0,1,0,0,1
51,AchimDittmar,FALSE,3,2,0,2,0,0,7
52,Achonk,FALSE,3,3,27,20,1,2,56
53,achyuth,FALSE,0,0,0,1,0,0,1
54,Acilxpejuang,FALSE,0,0,3,4,0,0,7
55,acmad,FALSE,0,0,1,0,0,0,1
56,acolefortwo,FALSE,0,0,36,35,0,0,71
57,Acquaintance,FALSE,1,0,8,9,0,1,19
58,activado,FALSE,0,0,4,5,0,0,9
59,ActorX,FALSE,0,0,1,0,0,0,1
60,adakadabra,FALSE,0,0,1,0,0,0,1
61,AdamBurdette,FALSE,0,0,0,1,0,0,1
62,adeller,FALSE,0,0,0,1,0,0,1
63,ademshkodra,FALSE,0,0,1,1,0,0,2
64,adenwala,FALSE,0,0,1,1,0,0,2
65,adhask,FALSE,0,0,1,0,0,0,1
66,adiko,FALSE,0,0,1,0,0,0,1
67,Adirajdh,FALSE,0,0,2,2,0,0,4
68,adisaja,FALSE,0,0,0,1,0,0,1
69,adityait,FALSE,0,0,1,1,0,0,2
70,ADJUSTOR,FALSE,0,0,0,1,0,0,1
71,AdLasker,FALSE,0,1,0,0,0,0,1
72,adlordy,FALSE,0,0,0,1,0,0,1
73,admins,FALSE,10,9,2,0,0,1,22
74,adrianlaraperez,FALSE,1,0,8,8,2,1,20
75,adrianog,FALSE,1,1,4,4,0,1,11
76,adrianrz,FALSE,0,0,0,1,0,0,1
77,adriii,FALSE,0,0,2,1,0,0,3
78,adsonr,FALSE,0,0,0,1,0,0,1
79,AdTr,FALSE,0,1,2,2,0,2,7
80,advmauro,FALSE,0,0,1,0,0,0,1
81,AEKArg,FALSE,0,0,0,1,0,0,1
82,Aekolov,FALSE,26,14,478,456,20,29,1023
83,Afshan,FALSE,6,5,84,92,1,1,189
84,Agentocp,FALSE,1,0,0,0,0,0,1
85,Agola,FALSE,0,0,1,1,0,0,2
86,Agriane,FALSE,0,0,1,0,0,0,1
87,Agungf,FALSE,2,5,32,28,3,6,76
88,AgusAmri,FALSE,0,0,0,1,0,0,1
89,ahkchess,FALSE,1,0,0,1,0,0,2
90,ahli,FALSE,1,0,0,0,0,0,1
91,AhmadAlhowity,FALSE,0,0,1,2,0,0,3
92,Ahmadarifafandi,FALSE,0,0,0,1,0,0,1
93,AhmedBeruny,FALSE,0,0,3,3,0,0,6
94,Ahmeddawd,FALSE,0,0,1,1,0,0,2
95,Ahmedragab,FALSE,0,0,3,4,0,0,7
96,Ahmetegen,FALSE,0,0,1,1,0,0,2
97,AHRichards,FALSE,10,7,44,41,0,0,102
98,ahriuk,FALSE,0,0,0,1,0,0,1
99,ahussain,FALSE,1,0,8,7,0,0,16
100,airinda,FALSE,0,0,1,0,0,0,1
101,airports,FALSE,0,0,0,1,0,0,1
102,Aisyasyrof,FALSE,0,0,0,1,0,0,1
103,Aizawl,FALSE,0,0,0,1,0,0,1
104,aizbourg,FALSE,0,0,1,1,0,0,2
105,aizhi,FALSE,0,0,2,1,0,0,3
106,Ajayyy,FALSE,4,1,3,1,2,1,12
107,Ajdajd,FALSE,0,0,1,2,0,0,3
108,ajedor,FALSE,0,0,2,2,0,0,4
109,ajedrezas,FALSE,0,0,1,1,0,0,2
110,AjedrezRacer,FALSE,0,0,0,1,0,0,1
111,Ajrock,FALSE,0,0,5,1,0,0,6
112,ajtgmajtgm,FALSE,0,0,1,1,0,0,2
113,AKAMconstruction,FALSE,1,0,17,13,0,1,32
114,AKATSUKILIGHT,FALSE,0,0,0,1,0,0,1
